index,Year,Gender,Race,Director(s),Film,Nomination/Winner
441,2017,Male,White,Paul Thomas Anderson,Phantom Thread,Nomination
442,2017,Female,White,Greta Gerwig,Lady Bird,Nomination
443,2017,Male,White,Christopher Nolan,Dunkirk,Nomination
444,2017,Male,Black,Jordan Peele,Get Out,Nomination
445,2018,Male,White,Alfonso Cuarón,Roma,Winner
446,2018,Male,White,Yorgos Lanthimos,The Favourite,Nomination
447,2018,Male,Black,Spike Lee,BlacKkKlansman,Nomination
448,2018,Male,White,Adam McKay,Vice,Nomination
449,2018,Male,White,Paweł Pawlikowski,Cold War,Nomination
450,2019,Male,White,Bong Joon-ho,Parasite,Winner
451,2019,Male,White,Sam Mendes,1917,Nomination
452,2019,Male,White,Todd Phillips,Joker,Nomination
453,2019,Male,White,Martin Scorsese,The Irishman,Nomination
454,2019,Male,White,Quentin Tarantino,Once Upon a Time in Hollywood,Nomination
455,,,,,,
