index,Year,Gender,Race,Director(s),Film,Nomination/Winner
98,1948,Male,White,Laurence Olivier,Hamlet,Nomination
99,1948,Male,White,Fred Zinnemann,The Search,Nomination
100,1949,Male,White,Joseph L. Mankiewicz,A Letter to Three Wives,Winner
101,1949,Male,White,Carol Reed,The Fallen Idol,Nomination
102,1949,Male,White,Robert Rossen,All the King's Men,Nomination
103,1949,Male,White,William A. Wellman,Battleground,Nomination
104,1949,Male,White,William Wyler,The Heiress,Nomination
105,1950,Male,White,Joseph L. Mankiewicz,All About Eve,Winner
106,1950,Male,White,George Cukor,Born Yesterday,Nomination
107,1950,Male,White,John Huston,The Asphalt Jungle,Nomination
108,1950,Male,White,Carol Reed,The Third Man,Nomination
109,1950,Male,White,Billy Wilder,Sunset Boulevard,Nomination
110,1951,Male,White,George Stevens,A Place in the Sun,Winner
111,1951,Male,White,John Huston,The African Queen,Nomination
112,1951,Male,White,Elia Kazan,A Streetcar Named Desire,Nomination
113,1951,Male,White,Vincente Minnelli,An American in Paris,Nomination
114,1951,Male,White,William Wyler,Detective Story,Nomination
115,1952,Male,White,John Ford,The Quiet Man,Winner
116,1952,Male,White,Cecil B. DeMille,The Greatest Show on Earth,Nomination
117,1952,Male,White,John Huston,Moulin Rouge,Nomination
118,1952,Male,White,Joseph L. Mankiewicz,5 Fingers,Nomination
119,1952,Male,White,Fred Zinnemann,High Noon,Nomination
120,1953,Male,White,Fred Zinnemann,From Here to Eternity,Winner
121,1953,Male,White,George Stevens,Shane,Nomination
122,1953,Male,White,Charles Walters,Lili,Nomination
123,1953,Male,White,Billy Wilder,Stalag 17,Nomination
124,1953,Male,White,William Wyler,Roman Holiday,Nomination
125,1954,Male,White,Elia Kazan,On the Waterfront,Winner
126,1954,Male,White,Alfred Hitchcock,Rear Window,Nomination
127,1954,Male,White,George Seaton,The Country Girl,Nomination
128,1954,Male,White,William A. Wellman,The High and the Mighty,Nomination
129,1954,Male,White,Billy Wilder,Sabrina,Nomination
130,1955,Male,White,Delbert Mann,Marty,Winner
131,1955,Male,White,Elia Kazan,East of Eden,Nomination
132,1955,Male,White,David Lean,Summertime,Nomination
133,1955,Male,White,Joshua Logan,Picnic,Nomination
134,1955,Male,White,John Sturges,Bad Day at Black Rock,Nomination
135,1956,Male,White,George Stevens,Giant,Winner
136,1956,Male,White,Michael Anderson,Around the World in 80 Days,Nomination
137,1956,Male,White,Walter Lang,The King and I,Nomination
138,1956,Male,White,King Vidor,War and Peace,Nomination
139,1956,Male,White,William Wyler,Friendly Persuasion,Nomination
140,1957,Male,White,David Lean,The Bridge on the River Kwai,Winner
141,1957,Male,White,Joshua Logan,Sayonara,Nomination
142,1957,Male,White,Sidney Lumet,12 Angry Men,Nomination
143,1957,Male,White,Mark Robson,Peyton Place,Nomination
144,1957,Male,White,Billy Wilder,Witness for the Prosecution,Nomination
145,1958,Male,White,Vincente Minnelli,Gigi,Winner
146,1958,Male,White,Richard Brooks,Cat on a Hot Tin Roof,Nomination
147,1958,Male,White,Stanley Kramer,The Defiant Ones,Nomination
148,1958,Male,White,Mark Robson,The Inn of the Sixth Happiness,Nomination
149,1958,Male,White,Robert Wise,I Want to Live!,Nomination
150,1959,Male,White,William Wyler,Ben-Hur,Winner
151,1959,Male,White,Jack Clayton,Room at the Top,Nomination
152,1959,Male,White,George Stevens,The Diary of Anne Frank,Nomination
153,1959,Male,White,Billy Wilder,Some Like It Hot,Nomination
154,1959,Male,White,Fred Zinnemann,The Nun's Story,Nomination
155,1960,Male,White,Billy Wilder,The Apartment,Winner
156,1960,Male,White,Jack Cardiff,Sons and Lovers,Nomination
157,1960,Male,White,Jules Dassin,Never on Sunday,Nomination
158,1960,Male,White,Alfred Hitchcock,Psycho,Nomination
159,1960,Male,White,Fred Zinnemann,The Sundowners,Nomination
160,1961,Male,White,Robert Wise & Jerome Robbins,West Side Story,Winner
161,1961,Male,White,Federico Fellini,La Dolce Vita,Nomination
162,1961,Male,White,Stanley Kramer,Judgment at Nuremberg,Nomination
163,1961,Male,White,Robert Rossen,The Hustler,Nomination
164,1961,Male,White,J. Lee Thompson,The Guns of Navarone,Nomination
165,1962,Male,White,David Lean,Lawrence of Arabia,Winner
166,1962,Male,White,Pietro Germi,Divorce Italian Style,Nomination
167,1962,Male,White,Robert Mulligan,To Kill a Mockingbird,Nomination
168,1962,Male,White,Arthur Penn,The Miracle Worker,Nomination
169,1962,Male,White,Frank Perry,David and Lisa,Nomination
170,1963,Male,White,Tony Richardson,Tom Jones,Winner
171,1963,Male,White,Federico Fellini,8½,Nomination
172,1963,Male,White,Elia Kazan,America America,Nomination
173,1963,Male,White,Otto Preminger,The Cardinal,Nomination
174,1963,Male,White,Martin Ritt,Hud,Nomination
175,1964,Male,White,George Cukor,My Fair Lady,Winner
176,1964,Male,White,Michael Cacoyannis,Zorba the Greek,Nomination
177,1964,Male,White,Peter Glenville,Becket,Nomination
178,1964,Male,White,Stanley Kubrick,Dr. Strangelove,Nomination
179,1964,Male,White,Robert Stevenson,Mary Poppins,Nomination
180,1965,Male,White,Robert Wise,The Sound of Music,Winner
181,1965,Male,White,David Lean,Doctor Zhivago,Nomination
182,1965,Male,White,John Schlesinger,Darling,Nomination
183,1965,Male,White,Hiroshi Teshigahara,Woman in the Dunes,Nomination
184,1965,Male,White,William Wyler,The Collector,Nomination
185,1966,Male,White,Fred Zinnemann,A Man for All Seasons,Winner
186,1966,Male,White,Michelangelo Antonioni,Blowup,Nomination
187,1966,Male,White,Richard Brooks,The Professionals,Nomination
188,1966,Male,White,Claude Lelouch,A Man and a Woman,Nomination
189,1966,Male,White,Mike Nichols,Who's Afraid of Virginia Woolf?,Nomination
190,1967,Male,White,Mike Nichols,The Graduate,Winner
191,1967,Male,White,Richard Brooks,In Cold Blood,Nomination
192,1967,Male,White,Norman Jewison,In the Heat of the Night,Nomination
193,1967,Male,White,Stanley Kramer,Guess Who's Coming to Dinner,Nomination
194,1967,Male,White,Arthur Penn,Bonnie and Clyde,Nomination
195,1968,Male,White,Carol Reed,Oliver!,Winner
196,1968,Male,White,Anthony Harvey,The Lion in Winter,Nomination
197,1968,Male,White,Stanley Kubrick,2001: A Space Odyssey,Nomination
198,1968,Male,White,Gillo Pontecorvo,The Battle of Algiers,Nomination
199,1968,Male,White,Franco Zeffirelli,Romeo and Juliet,Nomination
200,1969,Male,White,John Schlesinger,Midnight Cowboy,Winner
201,1969,Male,White,Costa-Gavras,Z,Nomination
202,1969,Male,White,George Roy Hill,Butch Cassidy and the Sundance Kid,Nomination
203,1969,Male,White,Arthur Penn,Alice's Restaurant,Nomination
204,1969,Male,White,Sydney Pollack,"They Shoot Horses, Don't They?",Nomination
205,1970,Male,White,Franklin J. Schaffner,Patton,Winner
206,1970,Male,White,Robert Altman,M*A*S*H,Nomination
207,1970,Male,White,Federico Fellini,Fellini Satyricon,Nomination
208,1970,Male,White,Arthur Hiller,Love Story,Nomination
209,1970,Male,White,Ken Russell,Women in Love,Nomination
210,1971,Male,White,William Friedkin,The French Connection,Winner
211,1971,Male,White,Peter Bogdanovich,The Last Picture Show,Nomination
212,1971,Male,White,Norman Jewison,Fiddler on the Roof,Nomination
213,1971,Male,White,Stanley Kubrick,A Clockwork Orange,Nomination
214,1971,Male,White,John Schlesinger,Sunday Bloody Sunday,Nomination
215,1972,Male,White,Bob Fosse,Cabaret,Winner
216,1972,Male,White,John Boorman,Deliverance,Nomination
217,1972,Male,White,Francis Ford Coppola,The Godfather,Nomination
218,1972,Male,White,Joseph L. Mankiewicz,Sleuth,Nomination
219,1972,Male,White,Jan Troell,The Emigrants,Nomination
220,1973,Male,White,George Roy Hill,The Sting,Winner
221,1973,Male,White,Ingmar Bergman,Cries and Whispers,Nomination
222,1973,Male,White,Bernardo Bertolucci,Last Tango in Paris,Nomination
223,1973,Male,White,William Friedkin,The Exorcist,Nomination
224,1973,Male,White,George Lucas,American Graffiti,Nomination
225,1974,Male,White,Francis Ford Coppola,The Godfather Part II,Winner
226,1974,Male,White,John Cassavetes,A Woman Under the Influence,Nomination
227,1974,Male,White,Bob Fosse,Lenny,Nomination
228,1974,Male,White,Roman Polanski,Chinatown,Nomination
229,1974,Male,White,François Truffaut,Day for Night,Nomination
230,1975,Male,White,Miloš Forman,One Flew Over the Cuckoo's Nest,Winner
231,1975,Male,White,Robert Altman,Nashville,Nomination
232,1975,Male,White,Federico Fellini,Amarcord,Nomination
233,1975,Male,White,Stanley Kubrick,Barry Lyndon,Nomination
234,1975,Male,White,Sidney Lumet,Dog Day Afternoon,Nomination
235,1976,Male,White,John G. Avildsen,Rocky,Winner
